minute_bin,ask_bin_cents,n,win_rate_yes,avg_ask_cents,avg_spread_cents,mean_taker_pnl_cents
7,20,251,0.17928286852589642,24.382470119521912,6.151394422310757,-8.45418326693227
7,30,232,0.25862068965517243,34.23706896551724,6.038793103448276,-10.375
7,40,203,0.41379310344827586,44.36945812807882,7.0492610837438425,-4.990147783251231
7,50,216,0.5138888888888888,53.93055555555556,6.842592592592593,-4.541666666666667
7,60,245,0.6326530612244898,64.4,6.453061224489796,-3.1346938775510202
7,70,269,0.7657992565055762,74.57620817843866,7.100371747211896,0.0037174721189591076
7,80,302,0.8443708609271523,84.31456953642385,6.688741721854305,-1.1920529801324504
7,90,277,0.9097472924187726,94.46570397111914,6.754512635379061,-4.490974729241877
7,100,50,0.98,100.0,12.2,-3.0
8,0,161,0.031055900621118012,6.012422360248447,2.4782608695652173,-3.906832298136646
