side,entry_minute,entry_improve_cents,ttl_minutes,max_entry_spread_cents,attempts,fills,fill_rate,win_rate_given_fill,mean_entry_px_filled,mean_settle_pnl_cents_per_fill,mean_settle_pnl_cents_per_attempt,ev_cents_per_hour_per_contract
NO,13,0,1,40,3629,1665,0.4588040782584734,0.22042042042042043,25.96996996996997,-3.9279279279279278,-1.8021493524386882,-7.208597409754753
NO,10,0,1,40,3724,1903,0.5110096670247046,0.37729900157645824,41.26904887020494,-3.539148712559117,-1.8085392051557465,-7.234156820622986
NO,0,1,2,40,54,18,0.3333333333333333,0.5555555555555556,61.0,-5.444444444444445,-1.8148148148148149,-7.2592592592592595
YES,10,1,1,40,3724,2122,0.5698174006444683,0.40669180018850143,43.92459943449576,-3.2554194156456173,-1.8549946294307196,-7.419978517722878
NO,13,2,1,40,3629,1830,0.5042711490768806,0.25245901639344265,28.934972677595628,-3.6890710382513663,-1.8602920914852576,-7.441168365941031
NO,9,0,1,40,3729,1834,0.49182086350227944,0.38004362050163576,41.79770992366412,-3.7933478735005455,-1.8656476267095736,-7.4625905068382945
NO,8,1,1,40,3726,2159,0.5794417606011809,0.41824918943955536,45.112552107457155,-3.287633163501621,-1.9049919484702094,-7.6199677938808374
NO,10,1,1,40,3724,2150,0.5773361976369495,0.3911627906976744,42.446976744186045,-3.3306976744186048,-1.9229323308270676,-7.69172932330827
YES,7,2,1,40,3727,2309,0.6195331365709686,0.4382849718492854,46.938934603724555,-3.1104374187960158,-1.9270190501744031,-7.7080762006976125
NO,0,2,2,40,54,18,0.3333333333333333,0.5555555555555556,61.388888888888886,-5.833333333333333,-1.9444444444444444,-7.777777777777778
YES,7,1,1,40,3727,2150,0.5768714784008586,0.4316279069767442,46.55674418604651,-3.393953488372093,-1.9578749664609605,-7.831499865843842
YES,1,0,1,40,3681,1916,0.5205107307796795,0.4373695198329854,47.50156576200418,-3.7646137787056366,-1.9595218690573213,-7.838087476229285
YES,3,0,1,40,3731,1989,0.5331010452961672,0.4348919054801408,47.168426344896936,-3.6792357968828555,-1.9614044492093272,-7.845617796837309
