side,entry_minute,entry_improve_cents,ttl_minutes,tp_cents,stop_minute,stop_exit_ttl_minutes,stop_exit_improve_cents,max_entry_spread_cents,max_stop_spread_cents,fallback,attempts,fills,fill_rate,exits,exit_rate_given_fill,mean_entry_px_filled,mean_fill_minute,win_rate_given_fill,mean_settle_pnl_cents_per_fill,mean_pnl_cents_per_attempt,mean_pnl_cents_per_fill,ev_cents_per_hour_per_contract
NO,8,0,1,1,13,1,2,40,30,taker_exit,590,297,0.5033898305084745,295,0.9932659932659933,44.68350168350168,8,0.43097643097643096,-1.5858585858585859,-2.7254237288135594,-5.414141414141414,-10.901694915254238
NO,10,0,1,1,10,1,2,20,20,taker_exit,561,297,0.5294117647058824,296,0.9966329966329966,40.55892255892256,10,0.39057239057239057,-1.5016835016835017,-2.729055258467023,-5.154882154882155,-10.916221033868093
NO,8,0,1,2,13,1,1,30,40,taker_exit,584,296,0.5068493150684932,295,0.9966216216216216,44.76013513513514,8,0.43243243243243246,-1.5168918918918919,-2.738013698630137,-5.402027027027027,-10.952054794520548
NO,9,1,1,2,10,1,2,40,40,taker_exit,589,336,0.5704584040747029,336,1.0,40.083333333333336,9,0.3898809523809524,-1.0952380952380953,-2.738539898132428,-4.800595238095238,-10.954159592529711
NO,8,0,1,2,13,2,0,30,20,taker_exit,584,296,0.5068493150684932,294,0.9932432432432432,44.76013513513514,8,0.43243243243243246,-1.5168918918918919,-2.75,-5.425675675675675,-11.0
NO,9,0,1,1,10,2,2,40,20,taker_exit,589,303,0.5144312393887945,299,0.9867986798679867,39.26732673267327,9,0.36633663366336633,-2.633663366336634,-2.757215619694397,-5.35973597359736,-11.028862478777588
NO,9,0,1,1,10,1,1,30,20,taker_exit,581,303,0.5215146299483648,299,0.9867986798679867,39.26732673267327,9,0.36633663366336633,-2.633663366336634,-2.7624784853700515,-5.297029702970297,-11.049913941480206
NO,8,0,1,2,13,2,2,40,30,taker_exit,590,297,0.5033898305084745,295,0.9932659932659933,44.68350168350168,8,0.43097643097643096,-1.5858585858585859,-2.7677966101694915,-5.498316498316498,-11.071186440677966
NO,10,0,1,3,10,1,2,20,40,taker_exit,561,297,0.5294117647058824,297,1.0,40.55892255892256,10,0.39057239057239057,-1.5016835016835017,-2.8092691622103385,-5.306397306397306,-11.237076648841354
NO,10,0,1,3,10,1,2,40,20,taker_exit,585,300,0.5128205128205128,296,0.9866666666666667,40.68666666666667,10,0.38666666666666666,-2.02,-2.813675213675214,-5.486666666666666,-11.254700854700856
NO,9,0,1,2,10,2,0,40,20,taker_exit,589,303,0.5144312393887945,299,0.9867986798679867,39.26732673267327,9,0.36633663366336633,-2.633663366336634,-2.8302207130730053,-5.5016501650165015,-11.320882852292021
NO,8,1,1,0,13,2,1,20,40,taker_exit,562,339,0.603202846975089,337,0.9941002949852508,45.26548672566372,8,0.43952802359882004,-1.3126843657817109,-2.832740213523132,-4.696165191740413,-11.330960854092528
NO,8,0,1,1,13,2,1,20,30,taker_exit,562,293,0.5213523131672598,293,1.0,44.83276450511946,8,0.4300341296928328,-1.8293515358361774,-2.8345195729537367,-5.436860068259386,-11.338078291814947
NO,9,1,1,3,10,1,2,20,30,taker_exit,562,333,0.5925266903914591,332,0.996996996996997,39.966966966966964,9,0.39039039039039036,-0.9279279279279279,-2.8505338078291813,-4.8108108108108105,-11.402135231316725
NO,9,0,1,1,10,2,0,30,30,taker_exit,581,303,0.5215146299483648,302,0.9966996699669967,39.26732673267327,9,0.36633663366336633,-2.633663366336634,-2.8519793459552494,-5.468646864686469,-11.407917383820998
NO,8,1,1,0,13,2,2,20,20,taker_exit,562,339,0.603202846975089,331,0.976401179941003,45.26548672566372,8,0.43952802359882004,-1.3126843657817109,-2.8558718861209966,-4.734513274336283,-11.423487544483987
NO,8,1,1,0,12,1,2,30,40,taker_exit,584,342,0.5856164383561644,342,1.0,45.207602339181285,8,0.4415204678362573,-1.0555555555555556,-2.868150684931507,-4.89766081871345,-11.472602739726028
NO,10,0,1,0,12,1,2,40,40,taker_exit,585,300,0.5128205128205128,300,1.0,40.68666666666667,10,0.38666666666666666,-2.02,-2.871794871794872,-5.6,-11.487179487179487
NO,10,0,1,3,10,2,0,20,20,taker_exit,561,297,0.5294117647058824,296,0.9966329966329966,40.55892255892256,10,0.39057239057239057,-1.5016835016835017,-2.878787878787879,-5.437710437710438,-11.515151515151516
NO,8,1,1,1,13,2,1,30,20,taker_exit,584,342,0.5856164383561644,339,0.9912280701754386,45.207602339181285,8,0.4415204678362573,-1.0555555555555556,-2.8801369863013697,-4.918128654970761,-11.520547945205479
